sids,lon,lat,depth,vs30,vs30measured
156,22.95761,40.62913,0.00000,3.66344E+02,0
157,22.95781,40.62902,0.00000,3.67799E+02,0
158,22.95801,40.62892,0.00000,3.69237E+02,0
159,22.95821,40.62880,0.00000,3.70609E+02,0
160,22.95841,40.62869,0.00000,3.71900E+02,0
161,22.95860,40.62856,0.00000,3.72738E+02,0
162,22.95879,40.62842,0.00000,3.73044E+02,0
163,22.95897,40.62826,0.00000,3.72361E+02,0
164,22.95914,40.62809,0.00000,3.70960E+02,0
165,22.95930,40.62789,0.00000,3.68265E+02,0
166,22.95945,40.62769,0.00000,3.65477E+02,0
167,22.95960,40.62748,0.00000,3.62949E+02,0
168,22.95975,40.62728,0.00000,3.60946E+02,0
169,22.95991,40.62708,0.00000,3.59663E+02,0
170,22.96006,40.62688,0.00000,3.59225E+02,0
171,22.96021,40.62667,0.00000,3.59674E+02,0
172,22.96037,40.62647,0.00000,3.60976E+02,0
173,22.96052,40.62627,0.00000,3.63029E+02,0
174,22.96067,40.62606,0.00000,3.65674E+02,0
175,22.96082,40.62586,0.00000,3.68714E+02,0
176,22.96098,40.62566,0.00000,3.71925E+02,0
177,22.96113,40.62545,0.00000,3.75071E+02,0
178,22.96128,40.62525,0.00000,3.77915E+02,0
179,22.96143,40.62505,0.00000,3.80238E+02,0
180,22.96159,40.62485,0.00000,3.81850E+02,0
181,22.96174,40.62464,0.00000,3.82585E+02,0
182,22.96189,40.62443,0.00000,3.82326E+02,0
183,22.96201,40.62420,0.00000,3.80636E+02,0
184,22.96212,40.62395,0.00000,3.77641E+02,0
185,22.96221,40.62369,0.00000,3.73609E+02,0
186,22.96226,40.62341,0.00000,3.68977E+02,0
187,22.96232,40.62313,0.00000,3.64698E+02,0
188,22.96237,40.62286,0.00000,3.61181E+02,0
189,22.96242,40.62258,0.00000,3.58581E+02,0
190,22.96248,40.62230,0.00000,3.56815E+02,0
191,22.96253,40.62202,0.00000,3.55633E+02,0
192,22.96258,40.62175,0.00000,3.54685E+02,0
193,22.96264,40.62147,0.00000,3.53594E+02,0
194,22.96269,40.62119,0.00000,3.52011E+02,0
195,22.96274,40.62091,0.00000,3.49658E+02,0
196,22.96280,40.62064,0.00000,3.46358E+02,0
197,22.96285,40.62036,0.00000,3.42063E+02,0
198,22.96290,40.62008,0.00000,3.36881E+02,0
199,22.96296,40.61980,0.00000,3.31093E+02,0
200,22.96301,40.61952,0.00000,3.25148E+02,0
201,22.96306,40.61925,0.00000,3.19621E+02,0
202,22.96311,40.61897,0.00000,3.15110E+02,0
203,22.96311,40.61869,0.00000,3.12250E+02,0
204,22.96306,40.61841,0.00000,3.11431E+02,0
205,22.96297,40.61815,0.00000,3.12520E+02,0
206,22.96285,40.61791,0.00000,3.14949E+02,0
207,22.96272,40.61768,0.00000,3.18152E+02,0
208,22.96257,40.61748,0.00000,3.21503E+02,0
209,22.96240,40.61731,0.00000,3.24609E+02,0
210,22.96221,40.61716,0.00000,3.27283E+02,0
211,22.96202,40.61702,0.00000,3.29510E+02,0
212,22.96183,40.61689,0.00000,3.31170E+02,0
213,22.96164,40.61675,0.00000,3.32166E+02,0
214,22.96145,40.61661,0.00000,3.32429E+02,0
215,22.96126,40.61648,0.00000,3.31937E+02,0
216,22.96107,40.61634,0.00000,3.30716E+02,0
217,22.96088,40.61621,0.00000,3.28841E+02,0
218,22.96069,40.61607,0.00000,3.26434E+02,0
219,22.96050,40.61593,0.00000,3.23662E+02,0
220,22.96031,40.61580,0.00000,3.20731E+02,0
221,22.96012,40.61566,0.00000,3.17875E+02,0
222,22.95992,40.61553,0.00000,3.15331E+02,0
223,22.95973,40.61539,0.00000,3.13326E+02,0
224,22.95954,40.61525,0.00000,3.12046E+02,0
225,22.95935,40.61512,0.00000,3.11621E+02,0
226,22.95916,40.61498,0.00000,3.12105E+02,0
227,22.95897,40.61485,0.00000,3.13476E+02,0
228,22.95878,40.61471,0.00000,3.15638E+02,0
229,22.95859,40.61457,0.00000,3.18437E+02,0
230,22.95840,40.61444,0.00000,3.21683E+02,0
231,22.95821,40.61430,0.00000,3.25177E+02,0
232,22.95802,40.61416,0.00000,3.28743E+02,0
233,22.95783,40.61403,0.00000,3.32231E+02,0
234,22.95764,40.61389,0.00000,3.35770E+02,0
235,22.95745,40.61374,0.00000,3.39247E+02,0
236,22.95733,40.61351,0.00000,3.45495E+02,0
237,22.95724,40.61326,0.00000,3.52949E+02,0
238,22.95721,40.61297,0.00000,3.60709E+02,0
239,22.95723,40.61269,0.00000,3.67328E+02,0
240,22.95725,40.61240,0.00000,3.71980E+02,0
241,22.95727,40.61212,0.00000,3.74425E+02,0
242,22.95729,40.61183,0.00000,3.74666E+02,0
243,22.95731,40.61155,0.00000,3.72941E+02,0
244,22.95734,40.61126,0.00000,3.69677E+02,0
245,22.95736,40.61098,0.00000,3.65424E+02,0
246,22.95738,40.61069,0.00000,3.60750E+02,0
247,22.95740,40.61041,0.00000,3.56148E+02,0
248,22.95742,40.61012,0.00000,3.51972E+02,0
249,22.95745,40.60984,0.00000,3.48424E+02,0
250,22.95747,40.60955,0.00000,3.45563E+02,0
251,22.95749,40.60927,0.00000,3.43332E+02,0
252,22.95751,40.60898,0.00000,3.41577E+02,0
253,22.95753,40.60870,0.00000,3.40064E+02,0
254,22.95756,40.60841,0.00000,3.38481E+02,0
255,22.95758,40.60813,0.00000,3.36469E+02,0
256,22.95760,40.60784,0.00000,3.33668E+02,0
257,22.95762,40.60756,0.00000,3.29804E+02,0
258,22.95764,40.60727,0.00000,3.24779E+02,0
259,22.95767,40.60699,0.00000,3.18757E+02,0
260,22.95770,40.60671,0.00000,3.11928E+02,0
261,22.95775,40.60643,0.00000,3.04801E+02,0
262,22.95781,40.60616,0.00000,2.98030E+02,0
263,22.95789,40.60589,0.00000,2.92248E+02,0
264,22.95796,40.60562,0.00000,2.88033E+02,0
265,22.95804,40.60535,0.00000,2.85474E+02,0
266,22.95811,40.60508,0.00000,2.84097E+02,0
267,22.95819,40.60481,0.00000,2.82977E+02,0
268,22.95827,40.60455,0.00000,2.80948E+02,0
269,22.95834,40.60428,0.00000,2.76924E+02,0
270,22.95842,40.60401,0.00000,2.70254E+02,0
271,22.95849,40.60374,0.00000,2.60984E+02,0
272,22.95857,40.60347,0.00000,2.49963E+02,0
273,22.95865,40.60320,0.00000,2.38709E+02,0
274,22.95872,40.60294,0.00000,2.29066E+02,0
275,22.95878,40.60266,0.00000,2.23127E+02,0
276,22.95879,40.60238,0.00000,2.22775E+02,0
277,22.95873,40.60210,0.00000,2.28387E+02,0
278,22.95866,40.60183,0.00000,2.37325E+02,0
279,22.95859,40.60156,0.00000,2.47584E+02,0
280,22.95852,40.60129,0.00000,2.57141E+02,0
281,22.95846,40.60101,0.00000,2.64403E+02,0
282,22.95839,40.60074,0.00000,2.68543E+02,0
283,22.95831,40.60047,0.00000,2.69743E+02,0
284,22.95820,40.60023,0.00000,2.69982E+02,0
285,22.95804,40.60004,0.00000,2.70621E+02,0
286,22.95787,40.59986,0.00000,2.71831E+02,0
287,22.95768,40.59973,0.00000,2.73765E+02,0
