t,Xacceleration
4.8296000E-001,-2.3773107E-006
4.8446000E-001,-2.3503094E-006
4.8596000E-001,-2.3177547E-006
4.8746000E-001,-2.2820762E-006
4.8896000E-001,-2.2463977E-006
4.9046000E-001,-2.2146451E-006
4.9196000E-001,-2.1917684E-006
4.9346000E-001,-2.1688918E-006
4.9496000E-001,-2.1460151E-006
4.9646000E-001,-2.1541752E-006
4.9796000E-001,-2.1631855E-006
4.9946000E-001,-2.1721959E-006
5.0096000E-001,-2.2047453E-006
5.0246000E-001,-2.2505354E-006
5.0396000E-001,-2.2963256E-006
5.0546000E-001,-2.3491540E-006
5.0696000E-001,-2.4178951E-006
5.0846000E-001,-2.4866362E-006
5.0996000E-001,-2.5553773E-006
5.1146000E-001,-2.6227640E-006
5.1296000E-001,-2.6901135E-006
5.1446000E-001,-2.7574631E-006
5.1596000E-001,-2.8121468E-006
5.1746000E-001,-2.8597059E-006
5.1896000E-001,-2.9072651E-006
5.2046000E-001,-2.9485916E-006
5.2196000E-001,-2.9758272E-006
5.2346000E-001,-3.0030628E-006
5.2496000E-001,-3.0302984E-006
5.2646000E-001,-3.0522750E-006
5.2796000E-001,-3.0741076E-006
5.2946000E-001,-3.0959401E-006
5.3096000E-001,-3.1245818E-006
5.3246000E-001,-3.1570536E-006
5.3396000E-001,-3.1895255E-006
5.3546000E-001,-3.2260422E-006
5.3696000E-001,-3.2717040E-006
5.3846000E-001,-3.3173657E-006
5.3996000E-001,-3.3630275E-006
5.4146000E-001,-3.4066276E-006
5.4296000E-001,-3.4501713E-006
5.4446000E-001,-3.4937150E-006
5.4596000E-001,-3.5204171E-006
5.4746000E-001,-3.5376458E-006
5.4896000E-001,-3.5548745E-006
5.5046000E-001,-3.5593495E-006
5.5196000E-001,-3.5349896E-006
5.5346000E-001,-3.5106298E-006
5.5496000E-001,-3.4862700E-006
5.5646000E-001,-3.4309819E-006
5.5796000E-001,-3.3748464E-006
5.5946000E-001,-3.3187110E-006
5.6096000E-001,-3.2658210E-006
5.6246000E-001,-3.2147565E-006
5.6396000E-001,-3.1636921E-006
5.6546000E-001,-3.1282724E-006
5.6696000E-001,-3.1282234E-006
5.6846000E-001,-3.1281744E-006
5.6996000E-001,-3.1281254E-006
5.7146000E-001,-3.2032428E-006
5.7296000E-001,-3.2804196E-006
5.7446000E-001,-3.3575964E-006
5.7596000E-001,-3.4754248E-006
5.7746000E-001,-3.6161198E-006
5.7896000E-001,-3.7568148E-006
5.8046000E-001,-3.9016863E-006
5.8196000E-001,-4.0560005E-006
5.8346000E-001,-4.2103147E-006
5.8496000E-001,-4.3646290E-006
5.8646000E-001,-4.4746407E-006
5.8796000E-001,-4.5834387E-006
5.8946000E-001,-4.6922366E-006
5.9096000E-001,-4.7503074E-006
5.9246000E-001,-4.7798442E-006
5.9396000E-001,-4.8093809E-006
5.9546000E-001,-4.8186596E-006
5.9696000E-001,-4.7821377E-006
5.9846000E-001,-4.7456157E-006
5.9996000E-001,-4.7090937E-006
6.0146000E-001,-4.6603316E-006
6.0296000E-001,-4.6112341E-006
6.0446000E-001,-4.5621367E-006
6.0596000E-001,-4.5428339E-006
6.0746000E-001,-4.5402906E-006
6.0896000E-001,-4.5377473E-006
6.1046000E-001,-4.5564304E-006
6.1196000E-001,-4.6231034E-006
6.1346000E-001,-4.6897764E-006
6.1496000E-001,-4.7564494E-006
6.1646000E-001,-4.8584724E-006
6.1796000E-001,-4.9614640E-006
6.1946000E-001,-5.0644555E-006
6.2096000E-001,-5.1468266E-006
6.2246000E-001,-5.2175987E-006
6.2396000E-001,-5.2883708E-006
6.2546000E-001,-5.3308846E-006
6.2696000E-001,-5.3095104E-006
6.2846000E-001,-5.2881361E-006
6.2996000E-001,-5.2667619E-006
6.3146000E-001,-5.1406443E-006
6.3296000E-001,-5.0116571E-006
6.3446000E-001,-4.8826699E-006
6.3596000E-001,-4.7069709E-006
6.3746000E-001,-4.5049966E-006
6.3896000E-001,-4.3030222E-006
6.4046000E-001,-4.0980965E-006
6.4196000E-001,-3.8864979E-006
6.4346000E-001,-3.6748994E-006
6.4496000E-001,-3.4633008E-006
6.4646000E-001,-3.3030850E-006
6.4796000E-001,-3.1442768E-006
6.4946000E-001,-2.9854687E-006
6.5096000E-001,-2.8873153E-006
6.5246000E-001,-2.8232801E-006
6.5396000E-001,-2.7592448E-006
6.5546000E-001,-2.7307297E-006
6.5696000E-001,-2.7825210E-006
6.5846000E-001,-2.8343122E-006
6.5996000E-001,-2.8861034E-006
6.6146000E-001,-3.0618659E-006
6.6296000E-001,-3.2410249E-006
6.6446000E-001,-3.4201840E-006
6.6596000E-001,-3.6841878E-006
6.6746000E-001,-3.9959169E-006
6.6896000E-001,-4.3076459E-006
6.7046000E-001,-4.6542267E-006
6.7196000E-001,-5.0796027E-006
6.7346000E-001,-5.5049786E-006
6.7496000E-001,-5.9303545E-006
6.7646000E-001,-6.4016271E-006
6.7796000E-001,-6.8741572E-006
6.7946000E-001,-7.3466872E-006
6.8096000E-001,-7.7781186E-006
6.8246000E-001,-8.1864321E-006
6.8396000E-001,-8.5947456E-006
6.8546000E-001,-8.9476151E-006
6.8696000E-001,-9.1751330E-006
6.8846000E-001,-9.4026509E-006
6.8996000E-001,-9.6301688E-006
6.9146000E-001,-9.6124828E-006
6.9296000E-001,-9.5880789E-006
6.9446000E-001,-9.5636751E-006
6.9596000E-001,-9.3787523E-006
6.9746000E-001,-9.1035376E-006
6.9896000E-001,-8.8283229E-006
7.0046000E-001,-8.4967723E-006
7.0196000E-001,-8.0378535E-006
7.0346000E-001,-7.5789347E-006
7.0496000E-001,-7.1200158E-006
7.0646000E-001,-6.5893550E-006
7.0796000E-001,-6.0567285E-006
7.0946000E-001,-5.5241021E-006
7.1096000E-001,-5.0272544E-006
7.1246000E-001,-4.5505321E-006
7.1396000E-001,-4.0738099E-006
7.1546000E-001,-3.6541347E-006
7.1696000E-001,-3.3634354E-006
7.1846000E-001,-3.0727362E-006
7.1996000E-001,-2.7820369E-006
7.2146000E-001,-2.7817454E-006
7.2296000E-001,-2.7894102E-006
7.2446000E-001,-2.7970751E-006
7.2596000E-001,-3.0406509E-006
7.2746000E-001,-3.4169267E-006
7.2896000E-001,-3.7932025E-006
7.3046000E-001,-4.2799055E-006
7.3196000E-001,-5.0162703E-006
7.3346000E-001,-5.7526351E-006
7.3496000E-001,-6.4889999E-006
7.3646000E-001,-7.4520677E-006
7.3796000E-001,-8.4213464E-006
7.3946000E-001,-9.3906252E-006
7.4096000E-001,-1.0345650E-005
