lon,lat,vs30,xvf
22.9442696122686,40.6357577978846,307.736885285758,-150
22.9446811743084,40.6355401864677,312.985265943995,-150
22.9450927336757,40.6353225735758,319.824921605454,-150
22.9455042903704,40.6351049592091,326.258290200246,-150
22.9459158443925,40.6348873433675,330.690145814522,-150
22.9463273957421,40.6346697260512,332.528597227644,-150
22.9467419278003,40.6344554311993,332.165824286234,-150
22.9471574352041,40.6342422244798,330.820759627696,-150
22.9475729399646,40.6340290162572,329.903657777656,-150
22.947988442082,40.6338158065318,330.435030813591,-150
22.9484039415561,40.6336025953035,332.819540628403,-150
22.9488194383871,40.6333893825723,336.850322137909,-150
22.9492349325748,40.6331761683383,341.87511926257,-150
22.9496504241193,40.6329629526016,347.032807049893,-150
22.9500659130205,40.6327497353622,351.487238460321,-150
22.9504813992784,40.6325365166201,354.593319446527,-150
22.950896882893,40.6323232963753,355.951013278266,-150
22.9513123638643,40.632110074628,355.359543754746,-150
22.9517278421922,40.631896851378,352.749227662406,-150
22.9521433178768,40.6316836266256,348.186680689678,-150
22.952558790918,40.6314704003707,341.992685002545,-150
22.9529742613158,40.6312571726133,334.906409016908,-150
22.9533897290702,40.6310439433535,328.143061542663,-150
22.9538385974822,40.6308749622312,322.471567536197,-150
22.9542894300315,40.6307085803738,320.144037649103,-150
22.9547402211867,40.6305421351771,322.1166032785,-150
22.9551910752785,40.6303757909935,328.115395994911,-150
22.9556194752245,40.6301802577145,336.61517208526,-150
22.9560307593941,40.6299623789023,345.527855626188,-150
22.9564420408903,40.6297444986171,353.363331274747,-150
22.956853319713,40.6295266168591,359.36439530517,-150
22.9572646750881,40.6293088204647,363.634432793798,-150
22.9576760412382,40.6290910373364,366.86324228287,-150
22.9580874671415,40.6288733211985,369.815160442017,-150
22.9584858843341,40.6286433327375,372.404649402845,-150
22.9588440436406,40.6283772754959,373.064942297651,-150
22.9591535890461,40.6280772145597,370.839306346198,-150
22.9594039541889,40.6277467474668,366.281657652289,-150
22.9596530653243,40.6274156367732,362.201533916417,-150
22.9599021739992,40.6270845255233,359.690857910804,-150
22.9601512802135,40.626753413717,359.388279497615,-150
22.9604003839673,40.6264223013544,361.387820349735,-150
22.9606495360395,40.6260912106186,365.279070607242,-150
22.960898738142,40.6257601422571,370.288279900955,-150
22.9611479377835,40.6254290733388,375.443123740178,-150
22.961397134964,40.6250980038638,379.727358951292,-150
22.9616463296835,40.6247669338321,382.250769701798,-150
22.9618842147995,40.6244316506812,382.340949182456,-150
22.9620724667541,40.6240780682819,379.405146852378,-150
22.9622012093177,40.623709238437,373.993848306516,-150
22.9622804064395,40.6233326630208,367.715715079819,-150
22.9623526764028,40.6229550047126,362.330701775992,-150
22.962424945552,40.6225773463344,358.571767241652,-150
22.9624972138872,40.6221996878861,356.333396592572,-150
22.9625694814083,40.6218220293677,354.943486875812,-150
22.9626417481154,40.6214443707793,353.481745574384,-150
22.9627140140086,40.621066712121,351.069382679662,-150
22.9627862790877,40.6206890533927,347.073696519934,-150
22.9628585433529,40.6203113945945,341.252637444468,-150
22.9629308068041,40.6199337357265,333.877708902407,-150
22.9630027309078,40.6195560394007,325.805380583216,-150
22.9630741511924,40.6191782874527,318.386978374202,-150
22.9631345552847,40.6188005217678,313.139035266472,-150
22.9630647514404,40.6184225944506,311.41925658964,-150
22.9629305672543,40.6180566880907,313.296480853865,-150
22.9627407938858,40.6177049571261,317.757536324521,-150
22.9624859004621,40.6173764276358,323.232888736727,-150
22.9621377029253,40.6171049240917,328.211750064341,-150
22.9617721913504,40.6168440030275,331.548418159396,-150
