sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
85,22.97615,40.57263,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
86,22.97853,40.57263,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
87,22.98091,40.57263,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
88,22.98328,40.57263,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
89,22.98566,40.57263,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
90,22.98804,40.57263,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
91,22.99041,40.57263,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
92,22.99279,40.57263,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
93,22.99517,40.57263,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
94,22.99755,40.57263,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
95,22.99992,40.57263,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
96,23.00230,40.57263,0.00000,CENOZOIC,2,5.42143E-02,4.97280E+02,-1.50000E+02,0
97,22.94287,40.57486,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
98,22.94525,40.57486,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
99,22.94763,40.57486,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
100,22.95000,40.57486,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
101,22.95238,40.57486,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
102,22.95476,40.57486,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
103,22.95714,40.57486,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
104,22.95951,40.57486,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
105,22.96189,40.57486,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
106,22.96427,40.57486,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
107,22.96664,40.57486,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
108,22.96902,40.57486,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
109,22.97140,40.57486,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
110,22.97378,40.57486,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
111,22.97615,40.57486,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
112,22.97853,40.57486,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
113,22.98091,40.57486,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
114,22.98328,40.57486,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
115,22.98566,40.57486,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
116,22.98804,40.57486,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
