sids,lon,lat,depth,vs30,vs30measured
197,22.93812,40.57486,0.00000,3.48845E+02,0
198,22.94050,40.57486,0.00000,3.48845E+02,0
199,22.94287,40.57486,0.00000,3.48845E+02,0
200,22.94525,40.57486,0.00000,3.48845E+02,0
201,22.94763,40.57486,0.00000,3.48845E+02,0
202,22.95000,40.57486,0.00000,3.48845E+02,0
203,22.95238,40.57486,0.00000,3.48845E+02,0
204,22.95476,40.57486,0.00000,3.48845E+02,0
205,22.95714,40.57486,0.00000,3.48845E+02,0
206,22.95951,40.57486,0.00000,3.48845E+02,0
207,22.96189,40.57486,0.00000,3.48845E+02,0
208,22.96427,40.57486,0.00000,3.48845E+02,0
209,22.96664,40.57486,0.00000,3.48845E+02,0
210,22.96902,40.57486,0.00000,3.48845E+02,0
211,22.97140,40.57486,0.00000,3.48845E+02,0
212,22.97378,40.57486,0.00000,3.48845E+02,0
213,22.97615,40.57486,0.00000,3.48845E+02,0
214,22.97853,40.57486,0.00000,3.48845E+02,0
215,22.98091,40.57486,0.00000,3.48845E+02,0
216,22.98328,40.57486,0.00000,3.48845E+02,0
217,22.98566,40.57486,0.00000,3.48845E+02,0
218,22.98804,40.57486,0.00000,3.48845E+02,0
219,22.99041,40.57486,0.00000,3.48845E+02,0
220,22.99279,40.57486,0.00000,3.48845E+02,0
221,22.99517,40.57486,0.00000,3.48845E+02,0
222,22.99755,40.57486,0.00000,3.48845E+02,0
223,22.99992,40.57486,0.00000,3.48845E+02,0
224,23.00230,40.57486,0.00000,3.48845E+02,0
225,22.89771,40.57709,0.00000,3.48845E+02,0
226,22.90009,40.57709,0.00000,3.48845E+02,0
227,22.90246,40.57709,0.00000,3.48845E+02,0
228,22.90484,40.57709,0.00000,3.48845E+02,0
229,22.90722,40.57709,0.00000,3.48845E+02,0
230,22.90960,40.57709,0.00000,3.48845E+02,0
231,22.91197,40.57709,0.00000,3.48845E+02,0
232,22.91435,40.57709,0.00000,3.48845E+02,0
233,22.91673,40.57709,0.00000,3.48845E+02,0
234,22.91910,40.57709,0.00000,3.48845E+02,0
235,22.92148,40.57709,0.00000,3.48845E+02,0
236,22.92386,40.57709,0.00000,3.48845E+02,0
237,22.92623,40.57709,0.00000,3.48845E+02,0
238,22.92861,40.57709,0.00000,3.48845E+02,0
239,22.93099,40.57709,0.00000,3.48845E+02,0
240,22.93337,40.57709,0.00000,3.48845E+02,0
241,22.93574,40.57709,0.00000,3.48845E+02,0
242,22.93812,40.57709,0.00000,3.48845E+02,0
243,22.94050,40.57709,0.00000,3.48845E+02,0
244,22.94287,40.57709,0.00000,3.48845E+02,0
245,22.94525,40.57709,0.00000,3.48845E+02,0
246,22.94763,40.57709,0.00000,3.48845E+02,0
247,22.95000,40.57709,0.00000,3.48845E+02,0
248,22.95238,40.57709,0.00000,3.48845E+02,0
249,22.95476,40.57709,0.00000,3.48845E+02,0
250,22.95714,40.57709,0.00000,3.48845E+02,0
251,22.95951,40.57709,0.00000,3.48845E+02,0
252,22.96189,40.57709,0.00000,3.48845E+02,0
253,22.96427,40.57709,0.00000,3.48845E+02,0
254,22.96664,40.57709,0.00000,3.48845E+02,0
255,22.96902,40.57709,0.00000,3.48845E+02,0
256,22.97140,40.57709,0.00000,3.48845E+02,0
257,22.97378,40.57709,0.00000,3.48845E+02,0
258,22.97615,40.57709,0.00000,3.48845E+02,0
259,22.97853,40.57709,0.00000,3.48845E+02,0
260,22.98091,40.57709,0.00000,3.48845E+02,0
261,22.98328,40.57709,0.00000,3.48845E+02,0
262,22.98566,40.57709,0.00000,3.48845E+02,0
