sids,lon,lat,depth,vs30,vs30measured,region,xvf,slope,geology
110,22.94826,40.63368,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
111,22.94846,40.63357,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
112,22.94867,40.63347,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
113,22.94887,40.63336,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
114,22.94907,40.63326,0.00000,4.64213E+02,0,2,-1.50000E+02,2.62267E-02,UNKNOWN
115,22.94927,40.63316,0.00000,4.64213E+02,0,2,-1.50000E+02,2.62267E-02,UNKNOWN
116,22.94947,40.63305,0.00000,4.64213E+02,0,2,-1.50000E+02,2.62267E-02,UNKNOWN
117,22.94968,40.63295,0.00000,4.64213E+02,0,2,-1.50000E+02,2.62267E-02,UNKNOWN
118,22.94988,40.63285,0.00000,4.64213E+02,0,2,-1.50000E+02,2.62267E-02,UNKNOWN
119,22.95008,40.63274,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
120,22.95028,40.63264,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
121,22.95048,40.63254,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
122,22.95068,40.63243,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
123,22.95089,40.63233,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
124,22.95109,40.63222,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
125,22.95129,40.63212,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
126,22.95149,40.63202,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
127,22.95169,40.63191,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
128,22.95190,40.63181,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
129,22.95210,40.63171,0.00000,4.62279E+02,0,2,-1.50000E+02,3.98337E-02,UNKNOWN
