t,Xacceleration
8.2817000E-001,-4.4792348E-005
8.3017000E-001,-4.3410825E-005
8.3217000E-001,-4.2714245E-005
8.3417000E-001,-4.2765922E-005
8.3617000E-001,-4.3597617E-005
8.3817000E-001,-4.5206855E-005
8.4017000E-001,-4.7556026E-005
8.4217000E-001,-5.0573214E-005
8.4417000E-001,-5.4154530E-005
8.4617000E-001,-5.8167806E-005
8.4817000E-001,-6.2457382E-005
8.5017000E-001,-6.6849722E-005
8.5217000E-001,-7.1159532E-005
8.5417000E-001,-7.5195851E-005
8.5617000E-001,-7.8768106E-005
8.5817000E-001,-8.1692097E-005
8.6017000E-001,-8.3795912E-005
8.6217000E-001,-8.4925631E-005
8.6417000E-001,-8.4950622E-005
8.6617000E-001,-8.3768001E-005
8.6817000E-001,-8.1307374E-005
8.7017000E-001,-7.7534763E-005
8.7217000E-001,-7.2455020E-005
8.7417000E-001,-6.6114913E-005
8.7617000E-001,-5.8603101E-005
8.7817000E-001,-5.0049393E-005
8.8017000E-001,-4.0622554E-005
8.8217000E-001,-3.0526540E-005
8.8417000E-001,-1.9994280E-005
8.8617000E-001,-9.2800772E-006
8.8817000E-001,1.3493689E-006
8.9017000E-001,1.1624662E-005
8.9217000E-001,2.1284953E-005
8.9417000E-001,3.0087896E-005
8.9617000E-001,3.7819320E-005
8.9817000E-001,4.4302260E-005
9.0017000E-001,4.9403243E-005
9.0217000E-001,5.3037499E-005
9.0417000E-001,5.5171367E-005
9.0617000E-001,5.5822166E-005
9.0817000E-001,5.5056367E-005
9.1017000E-001,5.2985249E-005
9.1217000E-001,4.9758935E-005
9.1417000E-001,4.5559130E-005
9.1617000E-001,4.0590799E-005
9.1817000E-001,3.5073338E-005
9.2017000E-001,2.9232047E-005
9.2217000E-001,2.3290045E-005
9.2417000E-001,1.7460678E-005
9.2617000E-001,1.1940739E-005
9.2817000E-001,6.9047296E-006
9.3017000E-001,2.5002688E-006
9.3217000E-001,-1.1552322E-006
9.3417000E-001,-3.9763586E-006
9.3617000E-001,-5.9117276E-006
9.3817000E-001,-6.9414917E-006
9.4017000E-001,-7.0781623E-006
9.4217000E-001,-6.3638436E-006
9.4417000E-001,-4.8670136E-006
9.4617000E-001,-2.6791112E-006
9.4817000E-001,8.9283951E-008
9.5017000E-001,3.3134232E-006
9.5217000E-001,6.8592275E-006
9.5417000E-001,1.0587919E-005
9.5617000E-001,1.4361061E-005
9.5817000E-001,1.8045123E-005
9.6017000E-001,2.1515739E-005
9.6217000E-001,2.4661568E-005
9.6417000E-001,2.7387441E-005
9.6617000E-001,2.9616672E-005
9.6817000E-001,3.1292558E-005
9.7017000E-001,3.2378961E-005
9.7217000E-001,3.2859892E-005
9.7417000E-001,3.2738098E-005
9.7617000E-001,3.2032727E-005
9.7817000E-001,3.0776279E-005
9.8017000E-001,2.9011046E-005
9.8217000E-001,2.6785301E-005
9.8417000E-001,2.4149525E-005
9.8617000E-001,2.1152988E-005
9.8817000E-001,1.7840923E-005
9.9017000E-001,1.4252632E-005
9.9217000E-001,1.0420783E-005
9.9417000E-001,6.3719339E-006
9.9617000E-001,2.1282970E-006
9.9817000E-001,-2.2894162E-006
1.0001700E+000,-6.8583117E-006
1.0021700E+000,-1.1549059E-005
1.0041700E+000,-1.6321432E-005
1.0061700E+000,-2.1120096E-005
1.0081700E+000,-2.5871097E-005
1.0101700E+000,-3.0479490E-005
1.0121700E+000,-3.4828488E-005
1.0141700E+000,-3.8780386E-005
1.0161700E+000,-4.2179514E-005
1.0181700E+000,-4.4857354E-005
1.0201700E+000,-4.6639627E-005
1.0221700E+000,-4.7355160E-005
1.0241700E+000,-4.6846090E-005
1.0261700E+000,-4.4978907E-005
1.0281700E+000,-4.1655853E-005
1.0301700E+000,-3.6826026E-005
1.0321700E+000,-3.0495051E-005
1.0341700E+000,-2.2732595E-005
1.0361700E+000,-1.3676236E-005
1.0381700E+000,-3.5343298E-006
1.0401700E+000,7.4176941E-006
1.0421700E+000,1.8843885E-005
1.0441700E+000,3.0359045E-005
1.0461700E+000,4.1543704E-005
1.0481700E+000,5.1961834E-005
1.0501700E+000,6.1180560E-005
1.0521700E+000,6.8790781E-005
1.0541700E+000,7.4427531E-005
1.0561700E+000,7.7788626E-005
1.0581700E+000,7.8650315E-005
1.0601700E+000,7.6878909E-005
1.0621700E+000,7.2437634E-005
1.0641700E+000,6.5388330E-005
1.0661700E+000,5.5888053E-005
1.0681700E+000,4.4181006E-005
1.0701700E+000,3.0586577E-005
1.0721700E+000,1.5484459E-005
1.0741700E+000,-7.0225054E-007
1.0761700E+000,-1.7524687E-005
1.0781700E+000,-3.4525329E-005
1.0801700E+000,-5.1253594E-005
1.0821700E+000,-6.7279491E-005
1.0841700E+000,-8.2204754E-005
1.0861700E+000,-9.5671477E-005
1.0881700E+000,-1.0736812E-004
1.0901700E+000,-1.1703293E-004
1.0921700E+000,-1.2445659E-004
1.0941700E+000,-1.2948317E-004
1.0961700E+000,-1.3200977E-004
1.0981700E+000,-1.3198697E-004
1.1001700E+000,-1.2941943E-004
1.1021700E+000,-1.2436639E-004
1.1041700E+000,-1.1694183E-004
1.1061700E+000,-1.0731496E-004
1.1081700E+000,-9.5710210E-005
1.1101700E+000,-8.2405699E-005
1.1121700E+000,-6.7730165E-005
1.1141700E+000,-5.2058015E-005
1.1161700E+000,-3.5802048E-005
1.1181700E+000,-1.9403447E-005
1.1201700E+000,-3.3194008E-006
1.1221700E+000,1.1991257E-005
1.1241700E+000,2.6084128E-005
1.1261700E+000,3.8546316E-005
1.1281700E+000,4.9013524E-005
1.1301700E+000,5.7186542E-005
1.1321700E+000,6.2845968E-005
1.1341700E+000,6.5864090E-005
1.1361700E+000,6.6212987E-005
1.1381700E+000,6.3968237E-005
