KP,Er
3611.3162,-1.33614625745429
3618.8161,-1.19295390220191
3626.316,-1.0497414469558
3629.96,-0.980155268701479
3642.3159,-0.937322182086819
3648.816,-0.813204720873525
3656.316,-0.669992265627418
3663.816,-0.52677981038131
3671.316,-0.383567355135201
3678.816,-0.240354899889094
3686.316,-0.0971424446429863
3693.816,0.0460700106031213
3701.316,0.18928246584923
3708.816,0.332494921095337
3716.316,0.475707376341445
3723.816,0.618919831587552
3731.316,0.762152386827379
3738.816,0.905364842073486
3746.316,1.04857729731959
3753.816,1.1917897525657
3761.316,1.33500220781181
3768.816,1.47821466305792
3776.316,1.62142711830403
3783.816,1.76463957355013
3791.316,1.90785202879624
3798.816,2.05106448404235
3806.316,2.19427693928846
3813.816,2.33748939453456
3821.316,2.48070184978067
3828.816,2.62391430502678
3836.316,2.76712676027289
3843.816,2.910339215519
3851.316,3.0535516707651
3858.816,3.19676412601121
3866.316,3.33997658125732
3873.816,3.48318903650343
3881.316,3.62640149174953
3888.816,3.76961394699564
3896.316,3.91282640224175
3903.816,4.05603885748786
3911.316,4.19927141272768
3918.816,4.34248386797379
3926.316,4.4856963232199
3933.816,4.62890877846601
3941.316,4.77212123371212
3948.816,4.91533368895822
3956.316,5.05854614420433
3963.816,5.20175859945044
3971.316,5.34497105469655
3978.816,5.48818350994265
3986.316,5.63139596518876
3993.816,5.77460842043487
4001.316,5.91782087568098
4008.816,6.06103333092708
4016.316,6.20424578617319
4023.816,6.3474582414193
4031.316,6.48474119851838
4038.816,6.60027596241376
4046.316,6.69317813338183
4053.816,6.76348791141003
4061.316,6.81116509651091
4068.816,6.83624988867191
4076.316,6.8387020879056
4083.816,6.82750639140425
4091.316,6.8161900949406
4098.816,6.80485369848322
4106.316,6.79351730202584
4113.816,6.78220100556219
4121.316,6.77086460910481
4128.816,6.75952821264743
4136.316,6.74819181619006
4143.816,6.7368755197264
4151.316,6.72553912326902
4158.816,6.71420272681165
4166.316,6.70288643034799
4173.816,6.69155003389061
4181.316,6.68021363743324
4188.816,6.66861594105752
4196.316,6.64248594922314
4203.816,6.59376356444889
4211.316,6.52240858674732
4218.816,6.42846121610587
4226.316,6.31188125253711
4233.816,6.17268879603475
4241.316,6.01090394659252
4248.816,5.82648650422297
4256.316,5.61945656891982
4263.816,5.3898342406768
4271.316,5.13757931950646
4278.816,4.86273200539625
4286.316,4.56641789799441
4293.816,4.26493809220685
4301.316,3.96343818642557
4308.816,3.66193828064429
4316.316,3.36043837486301
4323.816,3.05895856907545
4331.316,2.75745866329417
4338.816,2.45595875751289
4346.316,2.15445885173161
4353.816,1.85297904594405
4361.316,1.55147914016277
4368.816,1.24997923438149
4376.316,0.948479328600209
4383.816,0.646999522812649
4391.316,0.34549961703137
4398.816,0.0439997112500903
4406.316,-0.25748009453747
4413.816,-0.55898000031875
4421.316,-0.860479906100029
4428.816,-1.16197981188131
4436.316,-1.46345961766887
4443.816,-1.76495952345015
4451.316,-2.06645942923143
4458.816,-2.36795933501271
4466.316,-2.66943914080027
4473.816,-2.97093904658155
4481.316,-3.27243895236283
4488.816,-3.57391875815039
4496.316,-3.87541866393167
4503.816,-4.17691856971295
4511.316,-4.47841847549423
4518.816,-4.77989828128179
4526.316,-5.08037308738341
4533.816,-5.36376289882409
4541.316,-5.62452011733746
4548.816,-5.86268494291096
4556.316,-6.07821717555713
4563.816,-6.27115701526343
4571.316,-6.44146426204242
4578.816,-6.58917911588153
4586.316,-6.71426137679332
4593.816,-6.81673114477152
4601.316,-6.89660851980984
4608.816,-6.95385330192084
4616.316,-6.98850569109197
4623.816,-7.00299778656319
4631.316,-7.01427388303941
4638.816,-7.02554997951563
4646.316,-7.03684617598557
4653.816,-7.04812227246179
4661.316,-7.05939836893801
4668.816,-7.07067446541423
4676.316,-7.08197066188417
4683.816,-7.09324675836039
4691.316,-7.10452285483661
4698.816,-7.11579895131283
4706.316,-7.12707504778905
4713.816,-7.13837124425899
4721.316,-7.15067244041486
4728.816,-7.17242063361855
4736.316,-7.2054851232859
4743.816,-7.24984580942319
4751.316,-7.30228669303541
4758.816,-7.35506927654085
4766.316,-7.40783176005258
4773.816,-7.46061434355802
4781.316,-7.51337682706974
4788.816,-7.56615941057518
4796.316,-7.61892189408691
4803.816,-7.67170447759235
4811.316,-7.72446696110408
4818.816,-7.77724954460952
4826.316,-7.83001202812124
4833.816,-7.88279461162668
4841.316,-7.93555709513841
4848.816,-7.98833967864385
4856.316,-8.04110216215558
4863.816,-8.09388474566102
4871.316,-8.14664722917274
4878.816,-8.19942981267818
4886.316,-8.25219229618991
4893.816,-8.30497487969535
4901.316,-8.35773736320708
4908.816,-8.41051994671252
4916.316,-8.46328243022424
4923.816,-8.51606501372968
4931.316,-8.56882749724141
4938.816,-8.62161008074685
4946.316,-8.67437256425857
4953.816,-8.72715514776402
4961.316,-8.77991763127574
4968.816,-8.83270021478118
4976.316,-8.88546269829291
4983.816,-8.93824528179835
4991.316,-8.99100776531007
4998.816,-9.04379034881552
5006.316,-9.09655283232724
5013.816,-9.14933541583268
5021.316,-9.20209789934441
5028.816,-9.25488048284985
5036.316,-9.30764296636157
5043.816,-9.36042554986702
5051.316,-9.41318803337874
5058.816,-9.46597061688418
5066.316,-9.51873310039591
5073.816,-9.57151568390135
5081.316,-9.6229113678402
5088.816,-9.66447815485058
5096.316,-9.6947286453973
5103.816,-9.71368293947408
5111.316,-9.72516003588749
5118.816,-9.73645623235743
5126.316,-9.74775242882737
5133.816,-9.75906872529102
5141.316,-9.77036492176096
5148.816,-9.7816611182309
5156.316,-9.79295731470084
5163.816,-9.80425351117078
5171.316,-9.81556980763444
5178.816,-9.82686600410437
5186.316,-9.83816220057431
5193.816,-9.84945839704425
5201.316,-9.86077469350791
5208.816,-9.87207088997785
5216.316,-9.88336708644779
5223.816,-9.89466328291772
5231.316,-9.90597957938138
5238.816,-9.91727577585132
5246.316,-9.92857197232126
5253.816,-9.94853126608398
5261.316,-9.99092215283683
5268.816,-10.055945632517
5276.316,-10.143561505137
5283.816,-10.2522220711806
5291.316,-10.3652845358486
5298.816,-10.4783671005103
5306.316,-10.5914295651783
5313.816,-10.70451212984
5321.316,-10.8175946945017
5328.816,-10.9306571591696
5336.316,-11.0437397238313
5343.816,-11.1568021884993
5351.316,-11.269884753161
5358.816,-11.3829673178227
5366.316,-11.4960297824907
5373.816,-11.6091123471524
5381.316,-11.7221748118204
5388.816,-11.8352573764821
5396.316,-11.9483399411438
5403.816,-12.0614024058117
5411.316,-12.1744849704734
5418.816,-12.2875474351414
5426.316,-12.4006299998031
5433.816,-12.5063961667512
5441.316,-12.5899920406275
5448.816,-12.6509754215702
5456.316,-12.6893463095793
5463.816,-12.7050846046611
5471.316,-12.698230506803
5478.816,-12.6687639160113
5486.316,-12.616684832286
5493.816,-12.5419932556271
5501.316,-12.4448901859718
5508.816,-12.3393451189547
5516.316,-12.2338000519375
5523.816,-12.1282549849203
5531.316,-12.0227099179032
5538.816,-11.9171849508797
5546.316,-11.8116398838625
5553.816,-11.7060948168454
5561.316,-11.6005497498282
5568.816,-11.495004682811
5576.316,-11.3894797157876
5583.816,-11.2839346487704
5591.316,-11.1783895817533
5598.816,-11.0728445147361
5606.316,-10.9672994477189
5613.816,-10.8617744806955
5621.316,-10.7562294136783
5628.816,-10.6506843466611
5636.316,-10.545139279644
5643.816,-10.4395942126268
5651.316,-10.3340692456034
5658.816,-10.2285241785862
5666.316,-10.122979111569
5673.816,-10.0174340445519
5681.316,-9.91188897753469
5688.816,-9.80634391051753
5696.316,-9.70081894349408
5703.816,-9.59527387647691
5711.316,-9.48972880945975
5718.816,-9.38418374244258
5726.316,-9.27863867542541
5733.816,-9.17311370840197
5741.316,-9.06768924134711
5748.816,-8.97577197007126
5756.316,-8.90648729172272
5763.816,-8.85979500631406
5771.316,-8.835715213839
5778.816,-8.83426801429125
5786.316,-8.84552401077375
5793.816,-8.85686040723112
5801.316,-8.86817670369478
5808.816,-8.87949300015844
5816.316,-8.8908092966221
5823.816,-8.90214569307947
5831.316,-8.91346198954313
5838.816,-8.92477828600679
5846.316,-8.93609458247044
5853.816,-8.94743097892782
5861.316,-8.95874727539148
5868.816,-8.97006357185513
5876.316,-8.98137986831879
5883.816,-8.99271626477617
5891.316,-9.00403256123983
5898.816,-9.01534885770348
5906.316,-9.02666515416714
5913.816,-9.03800155062452
5921.316,-9.04931784708817
5928.816,-9.06063414355183
5936.316,-9.07195044001549
5943.816,-9.08328683647286
5951.316,-9.09460313293652
5958.816,-9.10591942940018
5966.316,-9.11723572586384
5973.816,-9.12857212232121
5981.316,-9.13988841878487
5988.816,-9.15120471524853
5996.316,-9.16252101171218
6003.816,-9.17385740816956
6011.316,-9.18517370463322
6018.816,-9.20143459955169
6026.316,-9.2334940895331
6033.816,-9.28167377447695
6041.316,-9.34601385437067
6048.816,-9.42552942952205
6056.316,-9.50844190361191
6063.816,-9.59137447769548
6071.316,-9.67428695178533
6078.816,-9.75719942587518
6086.316,-9.84011189996503
6093.816,-9.92302437405488
6101.316,-10.0059569481385
6108.816,-10.0888694222283
6116.316,-10.1717818963182
6123.816,-10.254694370408
6131.316,-10.3376269444916
6138.816,-10.4205394185814
6146.316,-10.5034518926713
6153.816,-10.5863643667611
6161.316,-10.6692969408447
6168.816,-10.7405916185651
6176.316,-10.7892738033519
6183.816,-10.8153434952052
6191.316,-10.8188207941185
6198.816,-10.7996655001045
6206.316,-10.757897713157
6213.816,-10.6935174332758
6221.316,-10.6181223568368
6228.816,-10.5427272803977
6236.316,-10.4673322039587
6243.816,-10.3919371275196
6251.316,-10.3165420510806
6258.816,-10.2411469746416
6266.316,-10.1657518982025
6273.816,-10.0903568217635
6281.316,-10.0149617453245
6288.816,-9.93956666888542
6296.316,-9.86417159244638
6303.816,-9.78877651600734
6311.316,-9.7133814395683
6318.816,-9.63800646312298
6326.316,-9.57473168289635
6333.816,-9.53406939560331
6341.316,-9.51599950125016
6348.816,-9.5201199999625
6356.316,-9.53143629642616
6363.816,-9.54275259288982
6371.316,-9.55406888935347
6378.816,-9.56538518581713
6386.316,-9.57670148228079
6393.816,-9.58801777874444
6401.316,-9.59935417520182
6408.816,-9.61067047166548
6416.316,-9.62198676812914
6423.816,-9.63330306459279
6431.316,-9.64461936105645
6438.816,-9.65593565752011
6446.316,-9.66727205397748
6453.816,-9.67858835044114
6461.316,-9.6899046469048
6468.816,-9.70122094336845
6476.316,-9.71253723983211
6483.816,-9.72385353629577
6491.316,-9.73516983275943
6498.816,-9.7465062292168
6506.316,-9.75975212507746
6513.816,-9.79171111509028
6521.316,-9.84628259803669
6528.816,-9.9234665739167
6536.316,-10.0232630427303
