sids,lon,lat,depth,vs30,vs30measured
211,22.92551,40.59582,0.00000,3.48845E+02,0
212,22.92721,40.59582,0.00000,3.48845E+02,0
213,22.92891,40.59582,0.00000,3.48845E+02,0
214,22.93060,40.59582,0.00000,3.48845E+02,0
215,22.93230,40.59582,0.00000,3.48845E+02,0
216,22.93400,40.59582,0.00000,3.48845E+02,0
217,22.93569,40.59582,0.00000,3.48845E+02,0
218,22.93739,40.59582,0.00000,3.48845E+02,0
219,22.93909,40.59582,0.00000,3.48845E+02,0
220,22.94079,40.59582,0.00000,3.48845E+02,0
221,22.94248,40.59582,0.00000,3.48845E+02,0
222,22.94418,40.59582,0.00000,3.48845E+02,0
223,22.94588,40.59582,0.00000,3.48844E+02,0
224,22.94757,40.59582,0.00000,3.48740E+02,0
225,22.94927,40.59582,0.00000,3.46467E+02,0
226,22.95097,40.59582,0.00000,3.31211E+02,0
227,22.95266,40.59582,0.00000,3.02827E+02,0
228,22.95436,40.59582,0.00000,2.97976E+02,0
229,22.95606,40.59582,0.00000,3.12674E+02,0
230,22.95775,40.59582,0.00000,2.98840E+02,0
231,22.95945,40.59582,0.00000,2.77354E+02,0
232,22.96115,40.59582,0.00000,3.08879E+02,0
233,22.96285,40.59582,0.00000,3.34573E+02,0
234,22.96454,40.59582,0.00000,3.38930E+02,0
235,22.96624,40.59582,0.00000,3.34654E+02,0
236,22.96794,40.59582,0.00000,3.30360E+02,0
237,22.96963,40.59582,0.00000,3.40075E+02,0
238,22.97133,40.59582,0.00000,3.48026E+02,0
239,22.97303,40.59582,0.00000,3.54956E+02,0
240,22.92382,40.59826,0.00000,3.48845E+02,0
241,22.92551,40.59826,0.00000,3.48845E+02,0
242,22.92721,40.59826,0.00000,3.48845E+02,0
243,22.92891,40.59826,0.00000,3.48845E+02,0
244,22.93060,40.59826,0.00000,3.48845E+02,0
245,22.93230,40.59826,0.00000,3.48845E+02,0
246,22.93400,40.59826,0.00000,3.48845E+02,0
247,22.93569,40.59826,0.00000,3.48845E+02,0
248,22.93739,40.59826,0.00000,3.48845E+02,0
249,22.93909,40.59826,0.00000,3.48845E+02,0
250,22.94079,40.59826,0.00000,3.48845E+02,0
251,22.94248,40.59826,0.00000,3.48845E+02,0
252,22.94418,40.59826,0.00000,3.48845E+02,0
253,22.94588,40.59826,0.00000,3.48841E+02,0
254,22.94757,40.59826,0.00000,3.48578E+02,0
255,22.94927,40.59826,0.00000,3.42871E+02,0
256,22.95097,40.59826,0.00000,3.05055E+02,0
257,22.95266,40.59826,0.00000,2.37099E+02,0
258,22.95436,40.59826,0.00000,2.31745E+02,0
259,22.95606,40.59826,0.00000,2.79324E+02,0
260,22.95775,40.59826,0.00000,2.87438E+02,0
261,22.95945,40.59826,0.00000,2.71219E+02,0
262,22.96115,40.59826,0.00000,3.02622E+02,0
263,22.96285,40.59826,0.00000,3.22875E+02,0
264,22.96454,40.59826,0.00000,3.30976E+02,0
265,22.96624,40.59826,0.00000,3.41105E+02,0
266,22.96794,40.59826,0.00000,3.45621E+02,0
267,22.96963,40.59826,0.00000,3.61098E+02,0
268,22.97133,40.59826,0.00000,3.84458E+02,0
269,22.97303,40.59826,0.00000,3.78905E+02,0
270,22.92382,40.60069,0.00000,3.48845E+02,0
271,22.92551,40.60069,0.00000,3.48845E+02,0
272,22.92721,40.60069,0.00000,3.48845E+02,0
273,22.92891,40.60069,0.00000,3.48845E+02,0
274,22.93060,40.60069,0.00000,3.48845E+02,0
275,22.93230,40.60069,0.00000,3.48845E+02,0
276,22.93400,40.60069,0.00000,3.48845E+02,0
277,22.93569,40.60069,0.00000,3.48845E+02,0
278,22.93739,40.60069,0.00000,3.48845E+02,0
279,22.93909,40.60069,0.00000,3.48845E+02,0
280,22.94079,40.60069,0.00000,3.48845E+02,0
