lon,lat,PGA-0.0004
22.94927,40.63316,9.587721E-01
22.94947,40.63305,9.572034E-01
22.94968,40.63295,9.557325E-01
22.94988,40.63285,9.544010E-01
22.95008,40.63274,9.533226E-01
22.95028,40.63264,9.525232E-01
22.95048,40.63254,9.520632E-01
22.95068,40.63243,9.519907E-01
22.95089,40.63233,9.523249E-01
22.95109,40.63222,9.530599E-01
22.95129,40.63212,9.542047E-01
22.95149,40.63202,9.557798E-01
22.95169,40.63191,9.578031E-01
22.95190,40.63181,9.602665E-01
22.95210,40.63171,9.631163E-01
22.95230,40.63160,9.663647E-01
22.95250,40.63150,9.699271E-01
22.95270,40.63140,9.737414E-01
22.95291,40.63129,9.777454E-01
22.95311,40.63119,9.817152E-01
22.95331,40.63108,9.855580E-01
22.95352,40.63100,9.891803E-01
22.95372,40.63092,9.924011E-01
22.95393,40.63084,9.950372E-01
22.95414,40.63076,9.969159E-01
22.95435,40.63069,9.979088E-01
22.95456,40.63061,9.979960E-01
22.95477,40.63053,9.971723E-01
22.95498,40.63046,9.954939E-01
22.95518,40.63038,9.930909E-01
22.95539,40.63029,9.901015E-01
22.95559,40.63019,9.867786E-01
22.95580,40.63009,9.833245E-01
22.95600,40.62998,9.799455E-01
22.95620,40.62987,9.768169E-01
22.95640,40.62977,9.740325E-01
22.95660,40.62966,9.716830E-01
22.95680,40.62955,9.697661E-01
22.95700,40.62945,9.682368E-01
22.95720,40.62934,9.670602E-01
22.95740,40.62924,9.661221E-01
22.95761,40.62913,9.653820E-01
22.95781,40.62902,9.646931E-01
22.95801,40.62892,9.640015E-01
22.95821,40.62880,9.633921E-01
22.95841,40.62869,9.628382E-01
22.95860,40.62856,9.626895E-01
22.95879,40.62842,9.630246E-01
22.95897,40.62826,9.642437E-01
22.95914,40.62809,9.660947E-01
22.95930,40.62789,9.691302E-01
22.95945,40.62769,9.722358E-01
22.95960,40.62748,9.751220E-01
22.95975,40.62728,9.775164E-01
22.95991,40.62708,9.792651E-01
22.96006,40.62688,9.802052E-01
22.96021,40.62667,9.803240E-01
22.96037,40.62647,9.796540E-01
22.96052,40.62627,9.782625E-01
22.96067,40.62606,9.763309E-01
22.96082,40.62586,9.740291E-01
22.96098,40.62566,9.715941E-01
22.96113,40.62545,9.692084E-01
22.96128,40.62525,9.670885E-01
22.96143,40.62505,9.654348E-01
22.96159,40.62485,9.644290E-01
22.96174,40.62464,9.641812E-01
22.96189,40.62443,9.648056E-01
22.96201,40.62420,9.666490E-01
22.96212,40.62395,9.696459E-01
22.96221,40.62369,9.735488E-01
22.96226,40.62341,9.779395E-01
22.96232,40.62313,9.820386E-01
22.96237,40.62286,9.854196E-01
22.96242,40.62258,9.879426E-01
22.96248,40.62230,9.896905E-01
22.96253,40.62202,9.908532E-01
22.96258,40.62175,9.917766E-01
22.96264,40.62147,9.928299E-01
