sids,lon,lat,depth,vs30,xvf,vs30measured,geology,slope,region
160,22.95815,40.60015,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
161,22.95785,40.59984,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
162,22.95747,40.59959,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
163,22.95721,40.59927,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
164,22.95716,40.59890,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
165,22.95731,40.59854,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
166,22.95766,40.59827,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
167,22.95811,40.59811,0.00000,3.63381E+02,-1.50000E+02,0,CENOZOIC,1.80584E-02,2
168,22.95852,40.59790,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
169,22.95887,40.59763,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
170,22.95921,40.59734,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
171,22.95954,40.59706,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
172,22.95983,40.59675,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
173,22.96002,40.59640,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
174,22.96022,40.59605,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
175,22.96038,40.59569,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
176,22.96051,40.59532,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
177,22.96064,40.59495,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
178,22.96077,40.59458,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
179,22.96090,40.59422,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
180,22.96106,40.59385,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
181,22.96135,40.59355,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
182,22.96174,40.59331,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
183,22.96213,40.59307,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
184,22.96256,40.59287,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
185,22.96301,40.59270,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
186,22.96350,40.59265,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
187,22.96399,40.59270,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
188,22.96449,40.59276,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
189,22.96498,40.59281,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
190,22.96548,40.59287,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
191,22.96598,40.59292,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
192,22.96647,40.59297,0.00000,3.68616E+02,-1.50000E+02,0,CENOZOIC,1.84413E-02,2
193,22.96697,40.59303,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
194,22.96746,40.59308,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
195,22.96796,40.59313,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
196,22.96845,40.59319,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
197,22.96895,40.59324,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
198,22.96945,40.59329,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
199,22.96995,40.59331,0.00000,3.86847E+02,-1.50000E+02,0,CENOZOIC,2.46374E-02,2
