#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.96207,40.62409,0.00000,9.248822E-01,8.889986E-01,8.348436E-01,7.710509E-01,6.947860E-01,6.080250E-01,5.139454E-01,4.171878E-01,3.220911E-01,2.332032E-01,1.618219E-01,1.084381E-01,6.908230E-02,4.337134E-02,2.645371E-02,1.562287E-02,8.966126E-03,4.682938E-03,2.176610E-03,9.331860E-04,3.610108E-04,1.329933E-04,3.926833E-05,8.774518E-06,1.020622E-06
22.96222,40.62366,0.00000,9.249094E-01,8.890372E-01,8.348938E-01,7.711111E-01,6.948504E-01,6.080875E-01,5.139983E-01,4.172280E-01,3.221394E-01,2.332164E-01,1.618279E-01,1.084395E-01,6.908073E-02,4.337044E-02,2.645311E-02,1.562336E-02,8.967757E-03,4.683933E-03,2.176949E-03,9.332810E-04,3.615515E-04,1.332856E-04,3.938624E-05,8.807428E-06,1.028805E-06
22.96297,40.61971,0.00000,9.250865E-01,8.892854E-01,8.352386E-01,7.714603E-01,6.952130E-01,6.084300E-01,5.142927E-01,4.174544E-01,3.225729E-01,2.332855E-01,1.618400E-01,1.084527E-01,6.919927E-02,4.334665E-02,2.643626E-02,1.561594E-02,8.968616E-03,4.690716E-03,2.179988E-03,9.341488E-04,3.615965E-04,1.336514E-04,3.961658E-05,8.859674E-06,1.057673E-06
22.96314,40.61883,0.00000,9.251225E-01,8.893356E-01,8.353092E-01,7.715278E-01,6.952817E-01,6.084923E-01,5.143449E-01,4.174959E-01,3.226693E-01,2.332976E-01,1.618421E-01,1.084941E-01,6.922796E-02,4.334132E-02,2.643200E-02,1.561286E-02,8.970179E-03,4.692494E-03,2.180798E-03,9.344320E-04,3.607854E-04,1.333223E-04,3.951266E-05,8.825516E-06,1.055616E-06
22.96304,40.61829,0.00000,9.251443E-01,8.893653E-01,8.353488E-01,7.715663E-01,6.953191E-01,6.085258E-01,5.143706E-01,4.175106E-01,3.227260E-01,2.332915E-01,1.618307E-01,1.085157E-01,6.924211E-02,4.333340E-02,2.642630E-02,1.560878E-02,8.970200E-03,4.692552E-03,2.181145E-03,9.345213E-04,3.596779E-04,1.328420E-04,3.935114E-05,8.776127E-06,1.048652E-06
22.96281,40.61779,0.00000,9.251642E-01,8.893922E-01,8.353849E-01,7.715988E-01,6.953487E-01,6.085491E-01,5.143850E-01,4.175147E-01,3.227758E-01,2.332766E-01,1.618395E-01,1.085329E-01,6.925313E-02,4.332270E-02,2.641900E-02,1.560351E-02,8.965955E-03,4.691904E-03,2.181364E-03,9.345494E-04,3.582482E-04,1.322133E-04,3.913697E-05,8.711588E-06,1.038507E-06
22.96245,40.61732,0.00000,9.251689E-01,8.893957E-01,8.353978E-01,7.715871E-01,6.953247E-01,6.085144E-01,5.143440E-01,4.174740E-01,3.228208E-01,2.332473E-01,1.618113E-01,1.085465E-01,6.926101E-02,4.330923E-02,2.640999E-02,1.559705E-02,8.960634E-03,4.690564E-03,2.181459E-03,9.345135E-04,3.567455E-04,1.314327E-04,3.886916E-05,8.631592E-06,1.025139E-06
22.96041,40.61587,0.00000,9.288247E-01,8.946580E-01,8.426009E-01,7.799348E-01,7.050619E-01,6.193186E-01,5.257491E-01,4.288369E-01,3.344267E-01,2.420467E-01,1.689410E-01,1.139208E-01,7.338071E-02,4.575521E-02,2.801086E-02,1.659586E-02,9.555837E-03,5.149687E-03,2.396109E-03,1.038388E-03,4.023405E-04,1.452498E-04,4.396890E-05,1.012101E-05,1.337928E-06
22.95807,40.61420,0.00000,9.244753E-01,8.873698E-01,8.332663E-01,7.677037E-01,6.905649E-01,6.030037E-01,5.083249E-01,4.113199E-01,3.170801E-01,2.283655E-01,1.579269E-01,1.056612E-01,6.712614E-02,4.193671E-02,2.550437E-02,1.501633E-02,8.590048E-03,4.441080E-03,2.072934E-03,8.818058E-04,3.333840E-04,1.144504E-04,3.286426E-05,7.014664E-06,7.116938E-07
22.95760,40.61386,0.00000,9.244907E-01,8.873985E-01,8.332862E-01,7.677177E-01,6.905737E-01,6.030042E-01,5.083152E-01,4.112995E-01,3.171081E-01,2.283329E-01,1.578946E-01,1.056667E-01,6.712805E-02,4.192291E-02,2.549502E-02,1.500891E-02,8.582958E-03,4.441177E-03,2.072889E-03,8.817490E-04,3.333241E-04,1.134492E-04,3.251497E-05,6.928657E-06,6.921944E-07
