#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.96207,40.62409,0.00000,9.319564E-01,8.977334E-01,8.494411E-01,7.859120E-01,7.077944E-01,6.177125E-01,5.201571E-01,4.210528E-01,3.268346E-01,2.430717E-01,1.732942E-01,1.185901E-01,7.800609E-02,4.937693E-02,3.010307E-02,1.768971E-02,1.002359E-02,5.472634E-03,2.869430E-03,1.434474E-03,6.759395E-04,2.957333E-04,1.176623E-04,4.143781E-05,1.265369E-05
22.96222,40.62366,0.00000,9.319779E-01,8.977638E-01,8.494809E-01,7.859600E-01,7.078471E-01,6.177661E-01,5.202072E-01,4.210964E-01,3.268702E-01,2.430989E-01,1.733138E-01,1.186031E-01,7.801440E-02,4.938186E-02,3.010588E-02,1.769139E-02,1.002478E-02,5.473620E-03,2.870312E-03,1.435219E-03,6.764958E-04,2.961088E-04,1.178759E-04,4.154602E-05,1.269686E-05
22.96297,40.61971,0.00000,9.321504E-01,8.980075E-01,8.497975E-01,7.863373E-01,7.082617E-01,6.181877E-01,5.206051E-01,4.214457E-01,3.271555E-01,2.433153E-01,1.734661E-01,1.187028E-01,7.807442E-02,4.941473E-02,3.012175E-02,1.769765E-02,1.002655E-02,5.473736E-03,2.870326E-03,1.435543E-03,6.770238E-04,2.966980E-04,1.183050E-04,4.181912E-05,1.281729E-05
22.96314,40.61883,0.00000,9.321873E-01,8.980595E-01,8.498649E-01,7.864175E-01,7.083493E-01,6.182764E-01,5.206890E-01,4.215201E-01,3.272170E-01,2.433624E-01,1.734997E-01,1.187248E-01,7.808784E-02,4.942206E-02,3.012506E-02,1.769844E-02,1.002595E-02,5.472536E-03,2.869092E-03,1.434557E-03,6.763755E-04,2.963324E-04,1.181310E-04,4.174995E-05,1.279358E-05
22.96304,40.61829,0.00000,9.322099E-01,8.980911E-01,8.499053E-01,7.864652E-01,7.084007E-01,6.183277E-01,5.207359E-01,4.215592E-01,3.272468E-01,2.433830E-01,1.735125E-01,1.187316E-01,7.809076E-02,4.942258E-02,3.012414E-02,1.769670E-02,1.002379E-02,5.470340E-03,2.867149E-03,1.433068E-03,6.753826E-04,2.957516E-04,1.178387E-04,4.162235E-05,1.274644E-05
22.96281,40.61779,0.00000,9.322309E-01,8.981202E-01,8.499425E-01,7.865084E-01,7.084464E-01,6.183720E-01,5.207750E-01,4.215903E-01,3.272689E-01,2.433965E-01,1.735189E-01,1.187334E-01,7.808981E-02,4.942035E-02,3.012133E-02,1.769359E-02,1.002062E-02,5.467327E-03,2.864562E-03,1.431099E-03,6.740648E-04,2.949761E-04,1.174447E-04,4.144793E-05,1.268109E-05
22.96245,40.61732,0.00000,9.322463E-01,8.981411E-01,8.499681E-01,7.865368E-01,7.084746E-01,6.183974E-01,5.207957E-01,4.216055E-01,3.272781E-01,2.434003E-01,1.735182E-01,1.187300E-01,7.808515E-02,4.941541E-02,3.011661E-02,1.768911E-02,1.001638E-02,5.463478E-03,2.861307E-03,1.428637E-03,6.724144E-04,2.940011E-04,1.169465E-04,4.122543E-05,1.259722E-05
22.96041,40.61587,0.00000,9.355984E-01,9.030519E-01,8.566723E-01,7.950685E-01,7.186342E-01,6.297517E-01,5.327067E-01,4.333125E-01,3.380389E-01,2.526516E-01,1.809833E-01,1.244131E-01,8.218902E-02,5.223775E-02,3.196973E-02,1.885176E-02,1.071339E-02,5.862963E-03,3.080174E-03,1.543185E-03,7.293999E-04,3.206706E-04,1.285078E-04,4.578329E-05,1.417294E-05
22.95807,40.61420,0.00000,9.312578E-01,8.965364E-01,8.475617E-01,7.831996E-01,7.041901E-01,6.133004E-01,5.151818E-01,4.158827E-01,3.218738E-01,2.386575E-01,1.696296E-01,1.157295E-01,7.589342E-02,4.789069E-02,2.909986E-02,1.703392E-02,9.604481E-03,5.209317E-03,2.707277E-03,1.338074E-03,6.217958E-04,2.676042E-04,1.045165E-04,3.600488E-05,1.071174E-05
22.95760,40.61386,0.00000,9.312722E-01,8.965559E-01,8.475859E-01,7.832266E-01,7.042170E-01,6.133237E-01,5.151988E-01,4.158919E-01,3.218754E-01,2.386531E-01,1.696217E-01,1.157205E-01,7.588481E-02,4.788321E-02,2.909345E-02,1.702814E-02,9.599062E-03,5.204335E-03,2.703028E-03,1.334827E-03,6.196090E-04,2.662994E-04,1.038454E-04,3.571260E-05,1.060040E-05
22.95740,40.61369,0.00000,9.312795E-01,8.965657E-01,8.475983E-01,7.832404E-01,7.042309E-01,6.133363E-01,5.152084E-01,4.158978E-01,3.218776E-01,2.386523E-01,1.696191E-01,1.157171E-01,7.588141E-02,4.788017E-02,2.909074E-02,1.702559E-02,9.596618E-03,5.202055E-03,2.701072E-03,1.333326E-03,6.185966E-04,2.656952E-04,1.035349E-04,3.557719E-05,1.054888E-05
