#,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473"
sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
138,22.96044,40.59592,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
139,22.96075,40.59506,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
140,22.96113,40.59399,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
141,22.96126,40.59380,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
142,22.96144,40.59364,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
143,22.96236,40.59307,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
144,22.96291,40.59285,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
145,22.96330,40.59276,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
146,22.96369,40.59274,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
147,22.96737,40.59314,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
148,22.96836,40.59325,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
149,22.96885,40.59330,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
150,22.96946,40.59337,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
151,22.96993,40.59342,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
